timestamp,host,user,event,file,process,privilege_level
2024-03-13 09:18:42,WS-021,alice,process_start,,powershell.exe,admin
2024-03-13 11:18:22,WS-021,alice,file_access,C:\HR\salaries_2024,powershell.exe,admin
2024-03-13 11:22:11,WS-021,alice,file_access,C:\HR\employee_records,powershell.exe,admin
2024-03-13 11:34:42,WS-021,alice,file_access,C:\HR\bonuses_q1,powershell.exe,admin
2024-03-13 11:38:18,WS-021,alice,file_access,C:\Finance\budgets_2024,powershell.exe,admin
2024-03-13 11:42:08,WS-021,alice,file_access,C:\Finance\projections_5y,powershell.exe,admin
2024-03-13 11:44:33,WS-021,alice,file_access,C:\Finance\customer_contracts,powershell.exe,admin
2024-03-13 11:48:22,WS-021,alice,file_access,C:\Engineering\source_code_archive,powershell.exe,admin
2024-03-13 11:52:11,WS-021,alice,file_access,C:\Engineering\product_roadmap_2025,powershell.exe,admin
2024-03-13 12:08:42,WS-021,alice,file_access,C:\Engineering\patent_drafts,powershell.exe,admin
2024-03-13 12:18:22,WS-021,alice,file_access,C:\Legal\contracts_2024,powershell.exe,admin
2024-03-13 12:22:11,WS-021,alice,file_access,C:\Legal\nda_templates,powershell.exe,admin
2024-03-13 12:24:42,WS-021,alice,file_access,C:\Legal\litigation_summary,powershell.exe,admin
2024-03-13 12:28:18,WS-021,alice,file_access,C:\Executive\board_minutes,powershell.exe,admin
2024-03-13 12:32:42,WS-021,alice,file_access,C:\Executive\merger_draft,powershell.exe,admin
2024-03-13 12:36:11,WS-021,alice,file_access,C:\Executive\compensation_2024,powershell.exe,admin
2024-03-13 12:38:22,WS-021,alice,file_access,C:\HR\offboarding_list,powershell.exe,admin
2024-03-13 12:42:11,WS-021,alice,file_access,C:\HR\salary_bands,powershell.exe,admin
2024-03-13 12:48:33,WS-021,alice,file_access,C:\Finance\acquisition_targets,powershell.exe,admin
2024-03-13 12:54:08,WS-021,alice,file_access,C:\Finance\investor_deck_2025,powershell.exe,admin
2024-03-13 12:58:18,WS-021,alice,file_access,C:\Engineering\auth_module,powershell.exe,admin
2024-03-13 13:02:11,WS-021,alice,file_access,C:\Engineering\backend_archive,powershell.exe,admin
2024-03-13 13:06:42,WS-021,alice,file_access,C:\Engineering\api_keys,powershell.exe,admin
2024-03-13 13:11:22,WS-021,alice,file_access,C:\Engineering\db_credentials,powershell.exe,admin
2024-03-13 14:48:11,WS-021,alice,process_start,,7z.exe,admin
2024-03-13 14:48:42,WS-021,alice,file_create,C:\Windows\Temp\final_archive,7z.exe,admin
2024-03-13 14:52:33,WS-021,alice,process_start,,certutil.exe,admin
2024-03-13 08:22:11,WS-088,bob,process_start,,powershell.exe,admin
2024-03-13 08:42:14,WS-088,bob,process_start,,psexec.exe,admin
2024-03-13 09:11:22,WS-088,bob,file_access,C:\IT\patches\KB5034441,psexec.exe,admin
2024-03-13 09:11:48,WS-088,bob,file_access,C:\IT\patches\KB5034742,psexec.exe,admin
2024-03-13 09:14:11,WS-088,bob,file_access,C:\IT\patches\KB5034987,psexec.exe,admin
2024-03-13 09:18:22,WS-088,bob,file_access,C:\IT\scripts\deploy_patches,powershell.exe,admin
2024-03-13 09:22:42,WS-088,bob,file_access,C:\IT\scripts\rollback,powershell.exe,admin
2024-03-13 09:34:18,WS-088,bob,file_access,C:\IT\inventory\workstations,explorer.exe,admin
2024-03-13 09:42:11,WS-088,bob,file_access,C:\IT\logs\deploy_log_20240312,explorer.exe,admin
2024-03-13 10:08:33,WS-088,bob,file_access,C:\IT\logs\deploy_log_20240313,explorer.exe,admin
2024-03-13 10:14:48,WS-088,bob,file_access,C:\IT\monitoring\alerts,explorer.exe,admin
2024-03-13 10:22:11,WS-088,bob,file_access,C:\IT\monitoring\health_dashboard,explorer.exe,admin
2024-03-13 10:38:14,WS-088,bob,file_access,C:\IT\config\firewall_rules,explorer.exe,admin
2024-03-13 11:14:22,WS-088,bob,file_access,C:\IT\config\dns_zones,explorer.exe,admin
2024-03-13 11:42:42,WS-088,bob,file_access,C:\IT\backups\full_backup_index,explorer.exe,admin
2024-03-13 12:18:11,WS-088,bob,file_access,C:\IT\admin_tools\sysinternals_archive,explorer.exe,admin
2024-03-13 13:08:48,WS-088,bob,file_access,C:\IT\admin_tools\diagnostic_pack,explorer.exe,admin
2024-03-13 13:42:14,WS-088,bob,file_access,C:\IT\runbooks\patch_runbook,explorer.exe,admin
2024-03-13 14:18:22,WS-088,bob,file_access,C:\IT\runbooks\incident_response,explorer.exe,admin
2024-03-13 14:48:42,WS-088,bob,file_access,C:\IT\reports\compliance_q1,explorer.exe,admin
2024-03-13 15:22:11,WS-088,bob,file_access,C:\IT\reports\security_audit,explorer.exe,admin
2024-03-13 15:48:33,WS-088,bob,file_access,C:\IT\reports\uptime_metrics,explorer.exe,admin
2024-03-13 16:14:18,WS-088,bob,file_access,C:\IT\reports\capacity_planning,explorer.exe,admin
2024-03-13 16:42:42,WS-088,bob,file_access,C:\IT\reports\budget_overview,explorer.exe,admin
2024-03-13 17:14:22,WS-088,bob,file_access,C:\IT\reports\team_metrics,explorer.exe,admin
2024-03-13 17:38:11,WS-088,bob,file_access,C:\IT\reports\monthly_summary,explorer.exe,admin
